Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-65.07595	20.193853	4.0	-87.0	4.449367	1.8505814	17.0	2.0	25.227848	-0.17760056	0.25733063	0.34180748	-0.5570142	4000	4.5895575e-08	5697.259	0.02291101	-3242.9683	0.9189385	0.07429116	0.4235	1.0	3.1541686058044434
1	-55.416668	31.718971	77.0	-91.0	6.475	5.795059	43.0	2.0	33.333332	-29.451172	0.18896843	-27.48165	-29.593496	8000	1.2016297e-07	2404.4124	0.025159033	-697.1221	0.9186383	0.043995503	0.3545	1.0	6.234606742858887
2	-39.252747	40.106617	67.0	-93.0	7.6813188	4.9876313	34.0	3.0	43.87912	-43.110485	3.5889282	17.06784	-43.674076	12000	4.6253206e-08	1951.6132	0.008702723	-91.01758	0.918398	0.024966823	0.28025	1.0	9.342097520828247
3	-39.26744	38.358902	137.0	-95.0	9.197675	5.191272	31.0	3.0	46.488373	-47.552692	0.11739044	-46.03095	-47.603943	16000	4.720688e-08	1983.197	0.0013786083	-16.152832	0.9181376	0.023882419	0.24825	1.0	12.521167755126953
4	-18.850746	47.27697	101.0	-87.0	9.597015	4.367655	26.0	4.0	58.597015	-49.983646	0.060515493	-49.147087	-50.01929	20000	-2.4318695e-08	2642.2085	0.004503453	-100.2168	0.9178926	0.01993093	0.188	1.0	15.583881855010986
5	-13.9838705	42.913074	88.0	-75.0	11.32258	5.0824623	25.0	4.0	64.33871	-43.545223	0.06883754	-42.208527	-43.571198	24000	5.4836273e-09	2441.7468	0.011912957	-15.004395	0.91766167	0.026696019	0.2595	2.0	18.63067078590393
6	11.106383	62.967484	161.0	-64.0	14.489362	6.6071286	34.0	6.0	84.42553	-40.751163	0.05795452	-39.83089	-40.77589	28000	-2.9802325e-09	3898.867	0.0043618465	-233.18604	0.91723347	0.013822842	0.151	2.0	21.678455352783203
7	43.135136	62.68159	190.0	-43.0	16.945946	7.005581	34.0	5.0	106.5946	-29.815258	0.028039841	-29.573397	-29.829905	32000	-1.990795e-08	4343.215	-0.00836669	-270.9109	0.916852	0.0032736345	0.032	79.0	25.700077533721924
8	53.4	75.98766	326.0	-75.0	16.914286	8.361037	43.0	6.0	113.37143	-17.529984	0.01532682	-17.303286	-17.536743	36000	-2.7418135e-08	4615.957	-0.012771199	-99.11621	0.93184674	0.00675783	0.0375	79.0	29.635340452194214
9	63.272728	79.162384	259.0	-65.0	18.363636	7.4256644	36.0	8.0	120.818184	-9.7899885	0.006409587	-9.723754	-9.793124	40000	-4.6253206e-08	4870.2905	-0.014459249	-48.48242	0.9306095	0.0077189226	0.06075	79.0	33.65431880950928
