Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-63.197918	19.796423	39.0	-86.0	20.833334	-0.15839148	0.2514135	0.36389303	-0.55869937	4000	1.1444092e-08	5228.396	0.032084376	-3051.895	0.9189385	0.05058717	0.39075	1.0	2.773158550262451
1	-52.766666	28.557175	78.0	-85.0	26.466667	-29.253227	0.23392779	-25.614693	-29.36943	8000	-2.8967857e-08	1942.4907	0.02109751	-556.32227	0.9186383	0.037835937	0.33425	1.0	5.6680848598480225
2	-40.34454	34.814137	78.0	-81.0	33.02521	-42.353703	0.09686421	-41.361496	-42.419582	12000	2.8312208e-08	1580.2944	0.012984069	-21.005005	0.9183883	0.024595559	0.26925	1.0	8.63327407836914
3	-30.528847	35.087517	81.0	-85.0	38.278847	-45.43033	0.048687328	-44.90188	-45.46536	16000	-2.3841862e-10	1500.974	0.009596077	-2.31604	0.9181432	0.026540682	0.24275	1.0	11.43884015083313
4	-9.15	39.098946	102.0	-77.0	49.8375	-44.582417	0.064212255	-43.845963	-44.616486	20000	-1.5616417e-08	1972.8383	0.009848787	-125.99097	0.9178915	0.019480726	0.23975	2.0	14.373037576675415
5	-2.6849315	46.890976	115.0	-79.0	54.10959	-36.99989	0.04462608	-36.575096	-37.029964	24000	-6.151199e-08	2340.851	-0.011627063	-105.15674	0.91756445	0.0035229288	0.03775	79.0	18.266480684280396
6	13.587301	61.101177	168.0	-74.0	63.174603	-29.565718	0.026844095	-29.120123	-29.583664	28000	4.7445297e-08	3116.5386	-0.013201079	-191.13696	0.9088993	0.0075760144	0.05525	79.0	22.003932237625122
7	27.785715	51.774136	160.0	-46.0	70.73214	-19.260357	0.016668148	-19.127344	-19.275745	32000	1.8835067e-08	2663.8005	-0.014067873	-41.703613	0.92210877	0.0045322925	0.047	79.0	25.770776510238647
8	50.659573	67.96127	226.0	-64.0	83.23404	-14.15763	0.017790044	-13.966659	-14.17033	36000	-5.0067904e-08	3630.5964	-0.011650214	-228.99658	0.91527647	0.004044434	0.04325	79.0	29.53279733657837
9	65.5814	57.526226	226.0	-76.0	91.65116	-2.2504601	0.0032970926	-2.1977186	-2.2534292	40000	1.0073185e-08	3185.1501	-0.0128996475	-37.582275	0.9168462	0.009933145	0.0485	79.0	33.30700373649597
10	101.457146	91.02726	367.0	-49.0	111.25714	2.8539195	0.0013028086	2.854912	2.8396542	44000	4.404783e-08	4679.684	-0.01699432	-845.1836	0.9297924	0.008999286	0.059	79.0	37.02898120880127
11	81.02564	57.01259	255.0	-26.0	100.410255	13.945927	12.900895	20.152899	-19.918797	48000	-3.653765e-08	2963.013	-0.014856985	-71.312744	0.96153265	0.007534241	0.04625	79.0	40.638930559158325
12	82.0	73.68122	374.0	-38.0	101.84615	13.156801	18.535805	24.603119	-24.412636	52000	-1.5258788e-08	3048.405	-0.005875124	-100.798584	0.9875106	0.012457829	0.13775	7.0	44.20408606529236
13	80.075	84.90005	357.0	-43.0	99.9	20.414295	20.592485	30.436007	-30.29758	56000	2.4318695e-08	3512.0188	-0.015066782	-26.15625	0.9878472	0.0061805625	0.0445	79.0	47.807480335235596
14	146.41379	106.94391	488.0	-7.0	135.58621	23.688366	15.849603	29.661228	-29.601746	60000	5.1021576e-08	4459.4507	-0.0164691	-259.6709	0.9959927	0.0046832715	0.05375	79.0	51.35032606124878
15	185.44	133.93285	517.0	17.0	157.44	26.717226	27.38558	41.748226	-41.63713	64000	-4.7564505e-08	5133.663	-0.014947885	-756.521	1.013481	0.005674585	0.0655	79.0	55.13141059875488
16	189.29167	133.76393	651.0	47.0	159.70833	49.3716	25.97989	59.351513	-59.120426	68000	-6.0796737e-09	4732.924	-0.013434856	-441.52783	0.98264784	0.005544321	0.038	79.0	58.848602533340454
17	347.0625	257.8649	1002.0	67.0	248.8125	45.265034	25.615616	64.648445	-44.37536	72000	1.9073487e-09	5988.715	-0.014754938	-2566.6377	0.9936381	0.0055018235	0.04175	79.0	62.65304183959961
18	447.0	286.2237	1132.0	81.0	306.41666	83.19908	33.308277	101.93132	-69.00566	76000	1.0609627e-08	4432.0625	-0.018663462	-1088.6125	0.990816	0.0069700927	0.0725	79.0	66.39132738113403
19	490.27274	427.85873	1559.0	88.0	330.63635	104.07221	26.29436	118.99382	-62.082703	80000	-1.6570091e-08	4375.983	-0.017142463	-511.17188	1.0090216	0.0058839903	0.05075	79.0	70.21881985664368
20	782.75	632.3525	1775.0	135.0	484.75	116.39006	23.60325	128.25624	-42.265095	84000	-1.7166137e-08	3072.883	-0.015992742	-1039.3275	1.0110819	0.003441196	0.04775	79.0	74.07662343978882
21	869.2857	562.13513	1797.0	210.0	536.4286	135.3644	31.339334	147.71277	-78.8292	88000	-1.5497207e-08	2635.7568	-0.013923404	-680.80005	0.996211	0.0043908926	0.055	79.0	77.92659187316895
22	883.5714	482.906	1789.0	403.0	550.5714	124.93605	55.597904	156.03383	-67.99518	92000	1.9073486e-08	2596.9346	-0.014538206	-1036.6678	0.9968214	0.012180418	0.1155	20.0	80.8745789527893
23	1324.5	592.21893	1802.0	345.0	767.75	151.5917	14.686502	157.78702	68.9551	96000	7.629395e-09	1732.9755	-0.017389797	-458.71143	0.9982406	0.005598735	0.06575	79.0	84.63549470901489
24	862.2857	658.03467	1831.0	206.0	516.1429	152.66371	23.216972	166.99359	85.89772	100000	-2.5987624e-08	3508.8303	-0.0127289165	-465.23608	0.98412883	0.00703632	0.053	79.0	88.89762806892395
25	1796.0	10.024969	1810.0	1786.0	1000.0	153.963	15.39619	159.12268	27.659672	104000	5.018711e-08	738.6275	-0.0029091374	-702.1744	0.9833032	0.013767663	0.14775	3.0	91.75058150291443
26	1585.75	401.75638	1825.0	890.0	886.5	175.52127	0.28574	175.54755	169.14706	108000	1.3232231e-08	955.29663	-0.004373965	-2.6776733	0.98332226	0.014868641	0.15575	2.0	94.54809713363647
27	1415.0	426.92038	1840.0	854.0	805.0	173.2318	7.2778335	174.14044	91.36852	112000	-2.7179718e-08	1569.3452	0.00081727054	-488.8474	0.98328954	0.018067777	0.249	2.0	97.39058589935303
28	1465.25	279.33167	1835.0	1114.0	846.0	171.38142	7.3526177	172.8438	74.63948	116000	-6.4373014e-09	2529.053	-0.0017440359	-1526.445	0.9832266	0.012908049	0.2265	4.0	100.26618790626526
29	1797.5	10.805092	1810.0	1784.0	1000.0	161.60762	28.069654	172.77711	29.521454	120000	1.04546544e-07	1097.7655	-0.0154075045	-1088.8201	0.98346233	0.0017269652	0.04	79.0	103.80990886688232
30	1781.75	45.620033	1820.0	1706.0	1000.0	176.8906	19.483507	179.22174	-36.41522	124000	-5.2452087e-09	395.2307	-0.002556581	-306.6615	0.95095617	0.013196133	0.16025	3.0	106.61741876602173
31	1823.25	15.072741	1845.0	1806.0	1000.0	179.80913	0.6722379	179.94476	168.24603	128000	-1.6570091e-08	12.242482	-0.022414858	-5.6511607	0.95041937	0.006098259	0.05775	79.0	110.9614930152893
32	1723.0	149.23137	1857.0	1481.0	964.75	181.87686	2.7792714	182.13774	114.34558	132000	2.5629998e-08	1976.3876	-0.011334442	-592.02844	0.9118155	0.0039986176	0.0415	79.0	115.15138101577759
33	1835.75	9.83298	1849.0	1824.0	1000.0	167.82207	10.336404	175.73393	137.83731	136000	-1.0919571e-07	241.66336	0.00030148256	-204.69992	0.92013365	0.01524787	0.15475	2.0	117.97124290466309
34	1722.5	219.81184	1856.0	1342.0	943.75	180.16904	8.759565	181.98375	48.179264	140000	1.6689301e-09	979.02325	-0.014809072	-219.48889	0.9202939	0.0046128356	0.04775	79.0	122.11187624931335
35	1860.0	12.529964	1877.0	1843.0	1000.0	173.74782	18.823559	178.28497	-17.919622	144000	-1.6391276e-08	458.3419	-0.016841482	-448.90836	0.90822697	0.0039236164	0.0855	79.0	126.25267696380615
36	1862.5	14.991664	1886.0	1846.0	1000.0	184.50992	4.072091	185.18465	143.53615	148000	2.1040439e-08	25.229809	-0.016528029	-19.154064	0.909381	0.006463811	0.06675	79.0	130.45992517471313
37	1422.25	783.0365	1879.0	66.0	772.25	184.87975	7.82152	186.32782	108.4256	152000	-1.4185906e-08	580.9715	-0.011754294	-248.97278	0.8860586	0.0033569308	0.0305	79.0	136.88500690460205
38	1882.75	13.273564	1897.0	1865.0	1000.0	184.56853	4.871406	185.59578	124.82843	156000	1.525879e-08	38.41341	-0.016082693	-32.28297	0.9117567	0.003573944	0.03525	79.0	141.1291697025299
39	1891.0	4.358899	1898.0	1886.0	1000.0	188.02122	0.47167474	188.05655	164.15053	160000	-2.1457673e-09	4.8519845	-0.016854018	-0.7370548	0.90146446	0.0054749446	0.04475	79.0	145.44427371025085
40	1489.0	699.78174	1904.0	277.0	800.5	188.74457	1.2815845	188.8865	156.03447	164000	2.2113323e-08	1043.3447	-0.003768021	-61.893494	0.8738653	0.012139833	0.12875	6.0	148.67615461349487
41	1482.0	519.52045	1892.0	618.0	813.25	182.88881	2.0617888	183.77179	158.37477	168000	-9.059907e-09	1931.0608	-0.012829044	-197.84827	0.87331456	0.0023978343	0.04625	79.0	152.99489092826843
42	1887.0	9.721111	1897.0	1872.0	1000.0	174.2389	6.0942006	176.12381	53.224632	172000	-2.014637e-08	329.64615	-0.017469775	-206.21951	0.87600183	0.007829769	0.0575	79.0	157.22520303726196
43	1460.4	550.90967	1892.0	561.0	792.4	183.68623	9.888927	186.37721	69.83915	176000	-1.525879e-08	1872.9623	-0.016978877	-388.96326	0.86263275	0.0059666727	0.101	79.0	161.21129155158997
44	1707.5	306.56198	1900.0	1177.0	917.75	178.82632	7.4977517	183.88176	126.6605	180000	5.00679e-09	923.0009	-0.013421188	-324.59576	0.8476275	0.004425188	0.06475	79.0	164.97820496559143
45	1656.5	384.24115	1882.0	991.0	894.75	183.06458	4.316672	185.33632	134.06711	184000	8.225441e-09	1018.4774	-0.011917432	-44.7854	0.8517319	0.002373648	0.03975	79.0	168.76707100868225
46	1518.0	616.10187	1886.0	451.0	822.25	177.75809	10.801922	181.6293	38.437923	188000	5.960464e-09	750.0816	-0.013938067	-164.2727	0.8691215	0.008366018	0.09125	79.0	172.5994908809662
47	1903.0	9.669539	1915.0	1893.0	1000.0	182.43399	6.4262123	183.97786	96.18486	192000	3.0994416e-09	89.52125	-0.0144201	-81.46043	0.84689903	0.008918103	0.09175	79.0	176.49549102783203
48	1213.8334	711.38885	1912.0	230.0	666.3333	188.01648	11.966414	189.64655	-14.908159	196000	-1.7642975e-08	2682.9404	-0.021211369	-1042.2756	0.8458827	0.003672727	0.083	79.0	180.3941671848297
49	1900.75	8.525697	1912.0	1888.0	1000.0	174.51062	21.852695	179.92793	-50.94525	200000	1.6391278e-08	690.03375	-0.013996186	-677.12585	0.8545057	0.006887275	0.06225	79.0	185.8684298992157
50	1907.25	5.018715	1915.0	1901.0	1000.0	188.98643	1.477481	189.46184	165.33006	204000	5.9127807e-08	7.789249	-0.021010831	-4.26386	0.8318136	0.0040427963	0.0645	79.0	189.60464692115784
51	1474.0	535.5345	1902.0	614.0	799.2	189.4041	12.782477	190.85086	-19.934507	208000	7.510185e-09	1722.9442	-0.0053378013	-744.2709	0.82315826	0.012439147	0.17	2.0	192.51306819915771
52	1891.75	9.522999	1904.0	1879.0	1000.0	179.76935	7.974863	183.38773	32.022774	212000	7.510185e-08	144.48843	-0.013525228	-136.41344	0.823123	0.0052478467	0.0445	79.0	196.38942313194275
53	1891.0	8.062258	1902.0	1880.0	1000.0	188.84	0.86599666	188.96072	158.37846	216000	-4.2915342e-09	4.7698097	-0.01636947	-0.44675303	0.7955164	0.0029579527	0.03925	79.0	200.2502920627594
54	1902.5	11.863811	1913.0	1883.0	1000.0	189.12798	0.11671347	189.13916	186.41943	220000	-1.2636185e-08	4.874768	-0.017349815	-1.0746775	0.776728	0.004497486	0.04425	79.0	204.0130181312561
55	1759.75	254.48122	1911.0	1319.0	938.25	186.59453	24.750643	190.18665	-67.67276	224000	-2.9087067e-08	337.58905	-0.014114219	-62.37256	0.76777935	0.003766074	0.058	79.0	207.8606584072113
56	1777.0	229.80753	1914.0	1379.0	943.0	186.18608	4.403872	187.41492	111.453545	228000	-1.1622905e-08	1012.06024	-0.0048199887	-143.40857	0.79643446	0.024385212	0.28725	3.0	210.81952786445618
57	1896.75	9.934158	1912.0	1885.0	1000.0	181.58519	8.475357	187.90556	55.885998	232000	2.6226044e-08	118.261734	-0.018084474	-105.84926	0.79684925	0.005155376	0.0665	79.0	214.5388581752777
58	1905.0	7.0356236	1915.0	1897.0	1000.0	189.23936	1.3657336	191.14307	182.5616	236000	2.1219254e-08	7.817132	-0.020744065	-3.3732471	0.767706	0.0033581695	0.05125	79.0	218.40482568740845
59	1910.75	12.316148	1924.0	1894.0	1000.0	190.25192	2.0215816	192.46292	172.86937	240000	-2.1040439e-08	4.3297668	-0.021400342	-1.2975562	0.7621912	0.005893388	0.06025	79.0	222.2693386077881
60	1908.5	6.8007355	1918.0	1899.0	1000.0	191.04109	0.93457574	191.4301	177.50816	244000	-1.502037e-08	4.0951285	-0.022646237	-0.24855042	0.73957723	0.0044581927	0.0645	79.0	226.09332466125488
61	1505.75	699.1771	1933.0	295.0	800.75	190.4803	2.6957498	192.58745	100.9687	248000	-3.0398368e-09	1040.2118	-0.0136742145	-58.54785	0.7182036	0.0008048693	0.04175	79.0	229.9501428604126
62	1910.5	7.4330344	1923.0	1904.0	1000.0	184.72948	1.0842417	186.77931	171.9473	252000	6.3300135e-08	38.65729	-0.019968696	-31.72392	0.70979935	0.0075456346	0.06775	79.0	234.63919377326965
63	1304.0	578.78906	1918.0	409.0	712.4	189.31403	6.7280264	192.01962	98.14253	256000	4.7683724e-10	2819.6067	-0.023184594	-1616.633	0.7230769	0.0022710862	0.043	79.0	238.54114174842834
64	1400.6	662.77734	1920.0	295.0	753.6	175.97864	14.545207	182.4632	75.83953	260000	2.4795533e-08	1788.3108	-0.021484038	-233.86499	0.7433262	0.005467243	0.07925	79.0	242.40147280693054
65	1834.75	118.31605	1910.0	1630.0	977.25	176.89822	13.664616	181.30167	60.572475	264000	2.1517277e-08	608.9096	-0.018858101	-188.10617	0.74688524	0.0048687737	0.07175	79.0	246.53671669960022
66	1915.5	12.678722	1928.0	1900.0	1000.0	183.35257	12.843239	187.72919	60.533867	268000	3.7491322e-08	233.17361	-0.019528799	-228.89594	0.7462978	0.01030542	0.101	79.0	250.49702405929565
67	1908.5	6.538348	1916.0	1902.0	1000.0	191.03485	0.7445542	191.4101	184.13213	272000	-1.1205673e-08	4.2045608	-0.02386655	-0.15978098	0.7202525	0.007665747	0.08775	79.0	254.4480676651001
68	1905.0	7.17635	1914.0	1895.0	1000.0	190.92096	0.4159881	191.05293	184.53479	276000	-3.4451485e-08	3.3314235	-0.021032207	-0.1764152	0.7022871	0.004762844	0.0555	79.0	258.30137848854065
69	1914.75	13.442005	1930.0	1899.0	1000.0	189.41335	6.611418	190.64478	108.0278	280000	1.0848046e-08	47.296394	-0.017878667	-43.831127	0.69384664	0.0055348207	0.0725	79.0	262.17835569381714
70	1684.75	406.91483	1924.0	980.0	889.75	191.47781	1.9509804	191.76927	167.08862	284000	-3.242493e-08	972.3038	-0.01789239	-534.5306	0.68273056	0.0008861278	0.051	79.0	266.0325207710266
71	1917.5	8.261355	1928.0	1905.0	1000.0	188.90184	3.2855766	190.22018	160.68236	288000	-7.629394e-09	16.884624	-0.016713519	-11.567688	0.68452924	0.0047782348	0.04025	79.0	269.8935577869415
72	1721.75	338.7797	1923.0	1135.0	910.25	188.38309	15.855576	191.72911	59.297653	292000	-4.4107438e-09	467.97662	-0.015500023	-137.44437	0.6753245	0.0032824986	0.045	79.0	273.87228775024414
73	1921.5	9.937304	1932.0	1908.0	1000.0	188.38832	1.1803033	188.96927	175.09239	296000	2.0503998e-08	17.360302	-0.021983093	-13.099628	0.69217676	0.00869612	0.0785	79.0	277.89878392219543
74	1596.5	556.2996	1924.0	633.0	845.75	191.3871	1.954485	191.70723	159.39539	300000	-1.7881394e-08	1072.3112	-0.0041271825	-102.82776	0.6976455	0.015577221	0.184	3.0	282.9550070762634
75	1500.75	449.97464	1930.0	863.0	806.5	182.1972	16.9435	185.20224	49.13516	304000	-3.8027764e-08	1494.2087	-0.022680882	-588.04926	0.69781345	0.0070353323	0.05525	79.0	287.2585346698761
76	1823.75	163.34836	1925.0	1541.0	963.75	180.6534	8.621235	182.40707	88.48374	308000	1.1444092e-08	801.6095	-0.015006425	-171.2179	0.71855736	0.0046788645	0.05375	79.0	291.52316427230835
