Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	558.6786	597.48724	1000.0	-1031.0	147.10715	199.16241	677.0	0.0	1000.0	-0.046455137	0.15101436	0.4460535	-0.50410247	30000	0.26240134	10132.591	0.01146394	-4498.2217	0.9189385	0.030214377	0.39396667	1.0	15.057416915893555
1	636.7857	671.9053	1000.0	-1193.0	121.07143	223.96841	731.0	0.0	1000.0	23.36308	19.976013	32.58647	-32.550957	60000	0.24446914	5797.75	0.0065462254	-2575.4343	0.9192381	0.01898785	0.30539998	1.0	29.0164053440094
2	528.25	770.3529	1000.0	-1742.0	157.25	256.78433	914.0	0.0	1000.0	38.077892	39.970787	55.887062	-55.748028	90000	0.2731834	3949.4644	0.004706798	-1231.1759	0.91932046	0.015949696	0.23879999	1.0	43.24390435218811
3	386.60715	1065.1785	1000.0	-1838.0	204.46428	355.0595	946.0	0.0	1000.0	47.682632	53.177685	72.60716	-72.44469	120000	0.27130166	5096.89	-0.02806585	-480.88937	0.9193282	0.012003799	0.13856667	33.0	60.19386172294617
4	489.14285	873.4534	1000.0	-1835.0	170.28572	291.15115	945.0	0.0	1000.0	55.522	60.58539	83.01083	-82.930145	150000	0.2534635	2471.3335	-0.0330132	-430.4388	0.9223057	0.012090966	0.15216666	51.0	78.7652497291565
5	343.85715	912.06445	1000.0	-1742.0	218.71428	304.02148	914.0	0.0	1000.0	52.085026	74.71344	92.74555	-92.74956	180000	0.24486992	2880.9114	-0.024296448	-265.19156	0.92472786	0.012288382	0.15636666	25.0	94.97286009788513
6	262.85715	934.59705	1000.0	-1718.0	245.71428	311.53238	906.0	0.0	1000.0	50.4123	83.4809	99.53496	-99.70421	210000	0.23885822	3549.4727	-0.027800726	-278.10028	0.92208993	0.012129622	0.15263334	33.0	111.63601183891296
7	193.0	1018.3749	1000.0	-1727.0	269.0	339.45828	909.0	0.0	1000.0	53.525623	82.645226	103.795654	-104.17276	240000	0.23762035	5824.0684	-0.030944832	-273.74524	0.9161262	0.012117151	0.15089999	35.0	128.91137790679932
8	61.107143	1058.4738	1000.0	-1748.0	312.9643	352.8246	916.0	0.0	1000.0	35.864895	87.55081	104.65393	-105.24219	270000	0.25148398	4701.214	-0.03456314	-721.9	0.9135967	0.012140922	0.1582	43.0	147.0789794921875
9	22.642857	1047.8456	1000.0	-1898.0	325.7857	349.28186	966.0	0.0	1000.0	22.729105	93.765785	104.76229	-113.95455	300000	0.24401933	3103.6238	-0.031344827	-800.8432	0.90942806	0.01210665	0.1497	37.0	164.5874195098877
10	383.39285	898.5873	1000.0	-1838.0	205.53572	299.52908	946.0	0.0	1000.0	43.271423	89.373276	105.24614	-128.57433	330000	0.19401893	1994.198	-0.019823587	-439.71652	0.90755147	0.012366347	0.1683	17.0	180.44295954704285
11	372.0357	956.1566	1000.0	-1907.0	209.32143	318.71887	969.0	0.0	1000.0	39.583317	92.371254	118.018814	-136.98677	360000	0.19231042	2220.9949	-0.018371202	-427.57123	0.9044979	0.012759261	0.15596667	16.0	196.44039797782898
12	179.07143	1011.91113	997.0	-1622.0	273.64285	337.30374	874.0	1.0	1000.0	32.2493	97.678024	111.96275	-144.8591	390000	0.21408448	5557.286	-0.020737786	-547.60675	0.9030867	0.012175245	0.17406666	18.0	212.3028953075409
13	311.5	1032.4055	1000.0	-1862.0	229.5	344.1352	954.0	0.0	1000.0	34.187435	89.18173	106.71717	-147.93874	420000	0.20613474	3133.3174	-0.030681072	-254.34958	0.9008293	0.012016095	0.16646667	32.0	229.50391340255737
14	195.67857	887.51025	1000.0	-1814.0	268.10715	295.83673	938.0	0.0	1000.0	23.099709	102.42433	115.50103	-154.54172	450000	0.1907945	2850.176	-0.022887709	-350.31714	0.8979555	0.01221627	0.17386666	22.0	245.16521859169006
15	454.75	790.9008	997.0	-1400.0	181.75	263.63364	800.0	1.0	1000.0	34.127934	92.948814	113.18936	-160.60593	480000	0.17236465	1423.9158	-0.019986244	-397.6296	0.8968233	0.012658759	0.17220001	18.0	259.9910397529602
